time,tweet,CleanTweets
2022-09-23 08:00:30+00:00,@moodsdooms coba pake pos indonesia,coba pakai pos indonesia
2022-08-17 14:18:02+00:00,"@sdenta Coba pakai Pos Indonesia dok, bisa menjangkau sampai pelosok2 bisa diantar sampai tujuan. Dulu pernah ngirim dokumen pake ekspedisi lain ke daerah yg cukup pelosok cuma diantar sampe kantor kcamatan :') si penerima hrs ambil sendiri ke kantor kcamatannya",coba pakai pos indonesia dok bisa jangkau sampai pelosok bisa antar sampai tuju dulu kirim dokumen pakai ekspedisi lain daerah pelosok antar sampai kantor si terima ambil sendiri kantor
2022-07-18 04:30:47+00:00,"@remotivi Coba tanyain pegawai Kominfo kalo kordinasi, ngirim tugas atau apalah itu dikirimnya lewat apa? Apa lewat POS Indonesia?",coba pegawai kirim tugas apa kirim lewat lewat pos indonesia
2022-09-19 02:41:32+00:00,"@ha_nssi @PosIndonesia 😭😭😭😭😭😭 coba dm kak atau telp, waktu itu aku dm ada respon meskipun lambat",coba pesan langsung kak telepon waktu pesan langsung respons lambat
2022-09-23 10:03:25+00:00,"@PosIndonesia @bitq Apaan saya coba masih Error tadi lewat Mandiri. 

Saking frustasinya saya bayar transfer dari Bank Permata ke VA BRI klean, itu barang mau dipake soalnsa. Berhasil cuma statusnya tetep belom kebayar. Sial malah kek sedekah jadinya :) https://t.co/D2yoWANNvH",coba rusak lewat mandiri saking bayar transfer bank permata barang mau pakai hasil status belum sial sedekah
2022-07-08 22:15:48+00:00,@tukangrosok___ @PosIndonesia @CCICPolri @DivHumas_Polri @ListyoSigitP Coba ke Satpam BCA,coba satu aman baca
2022-08-18 08:36:33+00:00,"@sbtcon coba tawarin shopee co aja nder, atau pos indonesia, boleh dm nder kalo butuh bantuan",coba shopee co saja kak pos indonesia boleh pesan langsung kak butuh bantu
2022-07-17 13:56:50+00:00,@sbtcon Coba tanya ke @.posindonesia,coba tanya
2022-08-22 11:00:51+00:00,"@PosIndonesia saya coba top up salfo Pospay, tapi berkali-kali gagal. Kenapa ya, admin? Mohon bantuannya. Terima kasih. https://t.co/pTi1VGy51P",coba top kali gagal ya administrator mohon terima kasih
2022-08-02 06:29:13+00:00,@barijoe Colek nih biar SOP sama @PosIndonesia ama bang @nezarpatria briefing dah,colek biar sop bang sudah
2022-07-03 16:11:35+00:00,@RomitsuT ini contoh pegawas @PosIndonesia yg gabut! pantas aja merugi dan hampir bangkrut!,contoh gabut saja rugi bangkrut
2022-07-03 09:05:41+00:00,"@RomitsuT Ini contoh pelayanan terbaik dari @PosIndonesia, maklum lagi goyang bos.... Da lama ga ke kantor pos😃",contoh layan baik maklum lagi goyang bos sudah lama tidak kantor pos
2022-07-21 09:55:30+00:00,"@PosIndonesia Utk sekedar contoh ya min.. kirim paket ke JKT 10 kg via jn*, ongkir 200 ribuan estimasi 3 hari.. kalau via pos Indonesia 216 ribu estimasi 7 hari.. belum lagi ke Batam yg naiknya 3 kali lipat.. kemaren saya kirim paket ke semarang biasanya 143 ribu, ini malah jadi 274.000. https://t.co/tiBdWmAeaV",contoh ya administrator kirim paket jakarta kg ongkos kirim ribu estimasi hari pos indonesia ribu estimasi hari belum lagi batam naik kali lipat kemarin kirim paket semarang ribu
2022-07-03 16:52:49+00:00,"@Mei2Namaku @PosIndonesia Mencoreng nama perusahaan 
@PosIndonesia

@DivHumas_Polri",coreng nama usaha
2022-08-20 03:03:20+00:00,"@eizzzya biasa nyendat di cukai, ini ajaaku di kasih pc dri temen ku di US udah nyampe di jkt april kemaren tpi sampe sekarang nggak nyampe2. mau nge email pos indonesia sama usps eror mulu 😭",cukai kasih teman ku sudah sampai jakarta april kemarin sampai tidak sampai mau email pos indonesia rusak melulu
2022-07-02 11:44:10+00:00,"@Mei2Namaku @PosIndonesia Di daerah banyak staff yg cosplay serasa jadi pemilik, kepentoknya musti sama yg jabatannya lebih tinggi 😌",daerah banyak pegawai tiru serasa milik mesti jabat lebih
2022-07-27 06:36:24+00:00,@PosIndonesia kenapa klw di daerah untuk pengiriman ke luar negri tidak ada EMS ya?,daerah kirim negeri tidak express ya
2022-07-11 08:23:25+00:00,Ada yg daftar ke kampus politeknik pos Indonesia Bandung?,daftar kampus pos indonesia bandung
2022-08-13 23:23:52+00:00,"Daftar pos pay, untuk awal dari bank sudah kepotong, trus disuruh ada saldo yang mengendap! @PosIndonesia kalian mau bersaing sama ovo, gopay, bca? Kalaupun 3 aplikasi tersebut ada saldo mengendappun saya iklas karena pelayanan aplikasi mereka bagus, ini mau narik gak bisa.",daftar pos awal bank sudah suruh saldo endap mau saing baca aplikasi saldo layan aplikasi bagus mau tarik tidak bisa
2022-09-22 05:10:36+00:00,@PosIndonesia @10tomatoes_ Bagaimana cara chek apa saya terdaftar di Penerima BSU,daftar terima
2022-09-15 08:25:37+00:00,"Terdaftar penerima BLT BBM , namun tidak ada surat undangan 
Nik KK 
3204461309080020
KTP
3204465108780005
@KemensosRI  @jokowi  @airlangga_hrt  @PosIndonesia @dinsosjabar  @ridwankamil  
@riekediahp  @humasjabar https://t.co/ZVpOFKFui2",daftar terima bbm tidak surat undang kakak ktp
2022-09-01 06:30:00+00:00,"Turut mendampingi Direktur Utama PT Pos Indonesia (Persero) Faizal R Djoemadi, tim Direktorat Jaminan Sosial Kemensos, dan PT Pos Indonesia Cabang Sentani.

#PenyesuaianRingankanBeban
Selamatkan Ekonomi Indonesia https://t.co/arVxjHtvH0",damping direktur utama pt pos indonesia tim direktorat jamin sosial pt pos indonesia cabang ekonomi indonesia
2022-09-14 23:43:42+00:00,@PosIndonesia Dana bsu yang dicairkan lewat pos tetap 600 ribu kan,dana cair lewat pos ribu
2022-09-09 06:00:02+00:00,"Berdasarkan data PT Pos Indonesia, tercatat 76.497 Keluarga Penerima Manfaat (KPM) yang akan menerima BLT BBM.  #bltbbm https://t.co/67WjX2PXkM",dasar data pt pos indonesia catat keluarga terima manfaat terima bbm
2022-07-20 05:15:53+00:00,"@garuda_cargo Berdasarkan informasi yang mimin terima, saat ini paket telah sampai di Indonesia namun masih belum ada penyerahan dari pihak maskapai penerbangan ke Pos Indonesia. Saat ini Pos Indonesia belum memiliki wewenang untuk memproses paket tersebut. @PosIndonesia",dasar informasi administrator terima paket sampai indonesia belum serah maskapai terbang pos indonesia pos indonesia belum milik wewenang proses paket
2022-09-15 13:46:11+00:00,"@PosIndonesia Kan data cukup lewat no  resi pengiriman bisa di cek, tidak perlu isi email segala",data lewat nomor resi kirim bisa cek tidak isi email
2022-08-19 10:03:44+00:00,"""Perlu pendataan u/ lokasi, shg sarana &amp;  prasarana u/ pelaksanaan layanan karantina sinergi dg layanan pos,"" tutur Yanto Hutajulung Sr VP @PosIndonesia yg turut hadir.

Rakor jg mensosialisasikan  PKS  @barantan_ri &amp;  @PosIndonesia digelar scr hybrid. https://t.co/JKHDrcBkVx",data lokasi sarana prasarana laksana layan karantina layan pos sr hadir rapat koordinasi
2022-09-21 01:21:37+00:00,"Seluruh data penerima manfaat BLT BBM telah diserahkan kepada PT Pos Indonesia.

Namun, masih terdapat beberapa daerah, terutama di daerah pegunungan seperti di Papua dan Papua Barat, yang datanya belum lengkap.",data terima manfaat bbm serah pt pos indonesia daerah daerah gunung papua papua barat data belum lengkap
2022-09-01 06:30:00+00:00,"Data penerima BSU disesuaikan dengan peserta BPJS Ketenagakerjaan yang terdaftar hingga Juli 2022. Sementara itu, pengeluarannya akan dilakukan melalui bank BUMN atau Himbara dan PT Pos Indonesia (Persero).
#PenyesuaianRingankanBeban
Selamatkan Ekonomi Indonesia https://t.co/Q0WOpWgkiX",data terima sesuai serta daftar juli bank bumn pt pos indonesia ekonomi indonesia
